Rank,Site,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
240,Software Company (M)Singapore,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
241,Software Company (M)Netherlands,"NA12- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
242,Software Company (M)Netherlands,"NA11- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
243,Software Company (M)Netherlands,"NA10- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
244,Software Company (M)Netherlands,"NA9- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
245,Software Company (M)Netherlands,"NA8- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
246,Software Company (M)Netherlands,"NA7- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
247,Software Company (M)Ireland,"IA13- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
248,Software Company (M)Hong Kong,"HKA1- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
249,Software Company (M)Netherlands,"NA6- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
250,Software Company (M)Singapore,"SB5- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
251,Network CompanyChina,"INSPUR NF5288M5, Xeon Gold 6133 20C 2.5GHz, NVIDIA Tesla V100, 25G EthernetInspur","43,520","1,643.0","3,788.8",
252,EPSRC/University of EdinburghUnited Kingdom,"ARCHER- Cray XC30, Intel Xeon E5 v2 12C 2.700GHz, Aries interconnectCray Inc.","118,080","1,642.5","2,550.5","3,306"
253,Service Provider TChina,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","38,400","1,639.3","3,072.0",
254,NOAAUnited States,"Surge- Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnectCray Inc.","48,960","1,635.0","2,036.7",956
255,NOAAUnited States,"Luna- Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnectCray Inc.","48,960","1,635.0","2,036.7",956
256,Simon Fraser University/Compute CanadaCanada,"Cedar-2- PowerEdge C6320/C6420, Xeon E5-2683 v4  16C 2.1GHz/Xeon Platinum 8160, Intel Omni-PathDell EMC","55,296","1,633.0","3,715.9",601
257,GovernmentChina,"ThinkSystem SR650, Xeon Gold 6140 18C 2.3GHz, NVIDIA Tesla V100, Infiniband EDRLenovo","32,144","1,630.1","2,637.7",
258,Service Provider TChina,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","37,600","1,608.2","3,008.0",
259,Service Provider TChina,"Internet Company T X2- Lenovo RD450, Xeon E5-2680v4 14C 2.4GHz, 10G EthernetLenovo","86,800","1,603.2","3,333.1",
260,"Information Systems Division, RIKENJapan","HOKUSAI BigWaterfall- PRIMERGY CX2550 M4, Xeon Gold 6148 20C 2.4GHz, Infiniband EDRFujitsu","33,600","1,601.0","2,580.5",
261,GovernmentChina,"U3- ThinkSystem SR650, Xeon Gold 6140 18C 2.3GHz, NVIDIA Tesla V100, Infiniband EDRLenovo","31,360","1,593.0","2,573.4",
262,Internet CompanyChina,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G EthernetSugon","48,000","1,590.0","3,225.6",530
263,IBM Development EngineeringUnited States,"Power 775, POWER7 8C 3.836GHz, Custom InterconnectIBM","62,944","1,587.0","1,931.6","3,576"
264,"Center for Computational Sciences, University of TsukubaJapan","Cygnus- NEC LX Cluster, Xeon Gold 6126 12C 2.6GHz, NVIDIA Tesla V100, InfiniBand HDR100NEC","27,520","1,582.0","2,399.7",
265,Service Provider TChina,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","36,800","1,580.0","2,944.0",
266,Internet CompanyChina,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G EthernetSugon","88,800","1,569.0","6,535.7","1,150"
267,State Grid CorpChina,"SGSystem- Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G EthernetSugon","92,000","1,562.0","3,238.4",960
268,GovernmentChina,"U2- ThinkSystem SR650, Xeon Gold 6140 18C 2.3GHz, NVIDIA Tesla V100, Infiniband EDRLenovo","30,576","1,558.4","2,509.0",
269,Internet Company SChina,"ThinkSystem HR650X, Xeon Gold 6148 20C 2.4GHz, 10G EthernetLenovo","38,880","1,556.0","2,986.0",
270,Service Provider TChina,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","36,000","1,552.4","2,880.0",
271,Service Provider TChina,"Internet Company T Z1- Lenovo RD450, Xeon E5-2680v4 14C 2.4GHz, 10G EthernetLenovo","84,000","1,551.5","3,225.6",
272,Service Provider TChina,"Internet Company T X1- Lenovo RD450, Xeon E5-2680v4 14C 2.4GHz, 10G EthernetLenovo","82,880","1,537.2","3,182.6",
273,Los Alamos National LaboratoryUnited States,"LANL CTS-1 Grizzly- Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-PathPenguin Computing, Inc.","53,352","1,524.7","1,792.6",603
274,Service Provider TChina,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","35,200","1,521.9","2,816.0",
275,GovernmentChina,"U1- ThinkSystem SR650, Xeon Gold 6140 18C 2.3GHz, NVIDIA Tesla V100, Infiniband EDRLenovo","29,792","1,521.0","2,444.7",
276,Southern University of Science and TechnologyChina,"TaiYi GPU- ThinkSystem SD530, Xeon Gold 6140 18C 2.3GHz, NVIDIA Tesla V100, Infiniband EDRLenovo","29,400","1,498.3","2,412.5",
277,Service Provider TChina,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","34,400","1,492.8","2,752.0",
278,Service Provider TChina,"Internet Company T AA1- Lenovo RD450, Xeon E5-2680v4 14C 2.4GHz, 10G EthernetLenovo","79,520","1,477.9","3,053.6",
279,Internet Service AChina,"Inspur TS10000, Xeon Silver 4114 10C 2.2GHz, NVIDIA Tesla V100, Infiniband FDRInspur","33,000","1,471.0","3,000.0",
280,IntelUnited States,"Endeavor- Intel Cluster, Intel Xeon Gold 6148/Xeon Phi 7250F 68C 1.4GHz, Intel Omni-PathIntel","45,680","1,463.0","2,507.3",431
281,Service Provider TChina,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","33,600","1,462.3","2,688.0",
282,"IT4Innovations National Supercomputing Center, VSB-Technical University of OstravaCzech Republic","Salomon- SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, Intel Xeon Phi 7120PHPE","76,896","1,457.7","2,011.6","4,806"
283,GovernmentChina,"ThinkSystem SD530, Xeon Gold 6140 18C 2.3GHz, Infiniband EDR, NVIDIA Tesla V100Lenovo","28,224","1,443.6","2,316.0",
284,GovernmentChina,"N1- ThinkSystem SD530, Xeon Gold 6140 18C 2.3GHz, NVIDIA Tesla V100, Infiniband EDRLenovo","28,224","1,443.6","2,316.0",
285,Chinese Bank AChina,"Huawei G5500, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla P100, 100G EthernetHuawei Technologies Co., Ltd.","26,180","1,432.9","2,153.5",160
286,Internet CompanyChina,"HSystem19- Sugon TC6000, Xeon Silver 4114 10C 2.2GHz, 25G EthernetSugon","82,000","1,432.0","5,772.8","1,310"
287,Service Provider TChina,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","32,800","1,432.0","2,624.0",
288,Science and Technology Facilities Council - Daresbury LaboratoryUnited Kingdom,"Blue Joule- BlueGene/Q, Power BQC 16C 1.60GHz, CustomIBM","131,072","1,431.1","1,677.7",657
289,"Institute of Atmospheric Physics, Chinese Academy of SciencesChina","Pre Earth Simulatorv2- Sugon Si-Cube, Xeon E5-2680v3 12C 2.5GHz, 56Gb 3D-TorusSugon","48,000","1,428.0","1,920.0",600
290,Xinjiang SC CenterChina,"XJSCSystem- Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla P100, Infiniband FDRSugon","30,240","1,418.0","2,413.8",240
291,Internet CompanyChina,"HKVSSystem- Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G EthernetSugon","82,800","1,417.0","2,914.6",850
292,Baotou Advanced Computing CenterChina,"BtACC- Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, Infiniband FDRSugon","52,080","1,416.0","1,999.9",560
293,Air Force Research LaboratoryUnited States,"Spirit- SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDRHPE","73,584","1,415.5","1,530.5","1,606"
294,Internet CompanyChina,"Bsystem- Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G EthernetSugon","78,720","1,407.0","5,793.8","1,050"
295,Internet CompanyChina,"TSystem- Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G EthernetSugon","78,000","1,405.0","5,740.8",800
296,GanSu Advanced Computing CenterChina,"GSACC- Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 100Gb 6D-TorusSugon","28,000","1,405.0","2,329.6",350
297,Wuhan UniversityChina,"SWARM- C4130/1028GQ, Xeon E5-2640v4 10C 2.4GHz, Intel Omni-Path 100G, NVIDIA Tesla V100 SXM2SuperMicro/DellEMC","32,640","1,403.0","3,068.9",
298,Service Provider TChina,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","32,000","1,400.9","2,560.0",
299,NTT Communications Tokyo No.4 Data CenterJapan,"MN-1- SuperServer 4028GR-TR2, Xeon E5-2667v4 8C 3.2GHz, Infiniband FDR, NVIDIA Tesla P100NTT Communications / NTT PC Communications","59,392","1,391.0","4,917.7",
300,Telecommunication CompanyChina,"INSPUR NF5288M5, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 100G EthernetInspur","34,000","1,389.0","2,953.6",
Rank,Site,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
301,MCloud CompanyChina,"GCloud- Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G EthernetSugon","30,624","1,389.0","2,459.0",176
302,Internet CompanyChina,"Bsystem- Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G EthernetSugon","43,200","1,379.0","2,903.0",480
303,AtosFrance,"Sid- bullx DLC 720, Xeon E5-2695v4 18C 2.1GHz, Infiniband FDRBull, Atos Group","49,896","1,363.5","1,676.5",543
304,Sandia National LaboratoriesUnited States,"SNL/NNSA CTS-1 Eclipse- Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-PathPenguin Computing, Inc.","54,648","1,361.8","1,836.2",
305,CEA/TGCC-GENCIFrance,"Curie thin nodes- Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDRBull, Atos Group","77,184","1,359.0","1,667.2","2,132"
306,Internet Service AChina,"Inspur NF5280M, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","31,680","1,352.0","2,332.0",
307,Internet CompanyChina,"JD B1- Lenovo x3650, Xeon E5-2683 v4  16C 2.1GHz, 10G EthernetLenovo","82,752","1,348.6","2,780.5",
308,Service Provider TChina,"Lenovo HR650x, Xeon Gold 6148 20C 2.4GHz, 25G EthernetLenovo","32,000","1,346.8","2,457.6",
309,Internet Service PChina,"INSPUR NF5288M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G EthernetInspur","40,320","1,346.0","3,489.0",
310,SPGridChina,"SGSystem- Sugon TC6000, Xeon E5-2650v4 12C 2.2GHz, 10G EthernetSugon","78,720","1,345.0","2,770.9",810
311,"Computer Network Information Center, Chinese Academy of ScienceChina","Earth Bigdata- Sugon TC6000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDRSugon","24,000","1,344.0","1,920.0",230
312,Simon Fraser University/Compute CanadaCanada,"Cedar- Dell C4130, Xeon E5-2650v4 12C 2.2GHz, Intel Omni-Path, NVIDIA Tesla P100Dell EMC","35,712","1,337.0","2,863.4",167
313,Central Research Institute of Electric Power Industry/CRIEPIJapan,"HPE SGI 8600, Xeon Gold 6148 20C 2.4GHz, 4xEDR InfinibandHPE","26,400","1,326.2","2,027.5",358
314,National Center for High Performance ComputingTaiwan,"Taiwania- PRIMERGY CX2550 M4/CX2560 M4/CX2570 M4, Xeon Gold 6148 20C 2.4GHz, Intel Omni-PathFujitsu","27,200","1,325.2","2,089.0",332
315,Service Provider TChina,"Internet Company T EE2- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","30,000","1,319.5","2,400.0",
316,Service Provider TChina,"Internet Company T EE1- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","30,000","1,319.5","2,400.0",
317,Service Provider TChina,"Internet Company T FF1- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","29,920","1,316.8","2,393.6",
318,Cloud CompanyChina,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G EthernetSugon","28,884","1,314.0","2,319.3",165
319,CEA/TGCC-GENCIFrance,"JOLIOT-CURIE KNL- Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2Bull, Atos Group","56,304","1,311.3","2,339.6",326
320,GovernmentChina,"AIGIS- Sugon Cluster W780I, Xeon E5-2630v4 10C 2.2GHz, NVIDIA Tesla P100, Infiniband FDRSugon","24,400","1,307.0","1,950.4",300
321,Internet CompanyChina,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G EthernetSugon","76,000","1,306.0","2,675.2",790
322,Commissariat a l'Energie Atomique (CEA)/CCRTFrance,"Cobalt- bullx DLC 720, Xeon E5-2680v4 14C 2.4GHz, Infiniband EDRBull, Atos Group","38,528","1,299.5","1,479.5",539
323,DOE/NNSA/LLNLUnited States,"Ansel- IBM Power System S922LC, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100IBM / NVIDIA / Mellanox","19,656","1,289.0","1,686.6",
324,Chendu SC CenterChina,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, Infiniband FDRSugon","47,040","1,286.0","1,806.3",504
325,Navy DSRCUnited States,"Conrad- Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect , Intel Xeon Phi 5120DCray Inc.","61,256","1,285.6","2,049.6","2,324"
326,Navy DSRCUnited States,"Gordon- Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect , Intel Xeon Phi 5120DCray Inc.","61,256","1,285.6","2,049.6","2,324"
327,China Manufacture Company BChina,"Lenovo x240 M5, Xeon E5-2667v4 8C 3.2GHz, 10G EthernetLenovo","51,200","1,284.5","2,621.4",
328,Service Provider TChina,"Lenovo HR650x, Xeon Gold 6148 20C 2.4GHz, 25G EthernetLenovo","30,400","1,284.3","2,334.7",
329,Internet Service AChina,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G EthernetInspur","66,560","1,276.0","2,662.4",
330,National Supercomputing Centre in Shenzhen (NSCS)China,"Nebulae- Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050Sugon","120,640","1,271.0","2,984.3","2,580"
331,Internet Service AChina,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G EthernetInspur","65,280","1,271.0","2,611.2",
332,Internet Service AChina,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G EthernetInspur","64,000","1,269.0","2,560.0",
333,Internet Service AChina,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G EthernetInspur","64,000","1,269.0","2,560.0",
334,MCloud CompanyChina,"MCSystem- Sugon TC6000, Xeon E5-2650v4 12C 2.2GHz, 10G EthernetSugon","74,400","1,266.0","2,618.9",800
335,Cloud CompanyChina,"GSCloud- Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, 10G EthernetSugon","67,200","1,262.0","2,580.5",720
336,DJIT CompanyChina,"DJSystem- Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G EthernetSugon","76,480","1,258.0","2,569.7",770
337,Internet CompanyChina,"HSystem- Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G EthernetSugon","76,000","1,258.0","2,553.6","1,200"
338,Financial Company PChina,"A1- Lenovo RD650, Xeon Gold 6148 20C 2.4GHz, 25G EthernetLenovo","29,760","1,257.6","2,285.6",
339,National Center for Atmospheric Research (NCAR)United States,"Yellowstone- iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDRIBM","72,288","1,257.6","1,503.6","1,437"
340,Internet CompanyChina,"HKVSystem- Sugon TC6000, Intel Xeon E5-2658v2 10C 2.4GHz, 10G EthernetSugon","68,000","1,257.0","1,305.6",840
341,Internet Service (B)China,"BSystem- Sugon TC6000, Xeon Gold 5117 14C 2GHz, 10G EthernetSugon","81,200","1,254.0","5,196.8",870
342,Cloud CompanyChina,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G EthernetSugon","72,800","1,252.0","2,562.6",760
343,CSC (Center for Scientific Computing)Finland,"Sisu- Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnectCray Inc.","40,608","1,250.0","1,689.3",680
344,Internet Service (B)China,"CTRtraning- Sugon I620, Xeon E5-2650v4 12C 2.2GHz, 10G EthernetSugon","72,000","1,242.0","2,534.4",900
345,"Computer Network Information Center, Chinese Academy of ScienceChina","Era-AI- Sugon Cluster W780I, Xeon E5-2650v4 12C 2.2GHz, NVIDIA Tesla P100, Infiniband FDRSugon","22,656","1,238.0","1,845.4",144
346,IT Service ProviderChina,"DataLearning(C)- Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 10G EthernetSugon","30,240","1,237.0","2,516.0",440
347,Taiyuan Advanced Computing CenterChina,"TYACC-System- Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 100Gb 6D-TorusSugon","24,640","1,237.0","2,050.0",320
348,Telecommunication CompanyChina,"Bsystem1- Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G EthernetSugon","70,800","1,232.0","5,210.9",970
349,SharcNetCanada,"Graham- Huawei X6800 V3, Xeon E5-2683 v4  16C 2.1GHz, Infiniband EDR/FDR, NVIDIA Tesla P100Huawei Technologies Co., Ltd.","51,200","1,228.0","2,641.4",546
350,Internet CompanyChina,"Inspur TS10000, Xeon Gold 6132 14C 2.6GHz, NVIDIA Tesla V100, Infiniband EDRInspur","26,720","1,228.0","2,242.6",
351,Internet CompanyChina,"Inspur TS10000, Xeon Gold 6132 14C 2.6GHz, NVIDIA Tesla V100, Infiniband EDRInspur","26,720","1,228.0","2,242.6",
352,Internet CompanyChina,"Inspur TS10000, Xeon Gold 6132 14C 2.6GHz, NVIDIA Tesla V100, Infiniband EDRInspur","26,720","1,228.0","2,242.6",
353,AtosFrance,"Diego- bullx DLC 720, Xeon E5-2698v4 20C 2.2GHz, Infiniband FDRBull, Atos Group","46,800","1,225.3","1,647.4",472
354,Sandia National LaboratoriesUnited States,"SNL/NNSA CTS-1 Serrano- Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-PathPenguin Computing, Inc.","40,392","1,223.7","1,357.2",480
355,Sandia National LaboratoriesUnited States,"SNL/NNSA CTS-1 Cayenne- Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-PathPenguin Computing, Inc.","40,392","1,223.7","1,357.2",480
356,Telecommunication CompanyChina,"INSPUR NF5288M5, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 100G EthernetInspur","30,600","1,223.0","2,658.2",
357,Internet CompanyChina,"bsystem- Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G EthernetSugon","37,120","1,222.0","2,494.5",400
358,Internet CompanyChina,"bsystem- Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 25G EthernetSugon","67,200","1,219.0","4,945.9",890
359,Deutscher WetterdienstGermany,"Cray XC40, E5-2680v3 12C 2.5Ghz/Xeon E5-2695v4 18C 2.1GHz, Aries interconnectCray Inc.","41,472","1,214.2","1,459.8",528
360,Financial Company PChina,"B1- Lenovo RD650, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 25G EthernetLenovo","24,000","1,213.6","1,980.7",
361,"Center for Advanced Intelligence Project, RIKENJapan","RAIDEN GPU subsystem- NVIDIA DGX-1 Volta36, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR, NVIDIA Tesla V100Fujitsu","35,360","1,213.0","3,244.8",
362,Service Provider TChina,"Lenovo HR630X, Xeon Silver 4110 8C 2.1GHz, 10G EthernetLenovo","76,800","1,212.8","5,161.0",
363,Network CompanyChina,"ThinkSystem HR650X, Xeon Gold 6138 20C 2GHz, 10G EthernetLenovo","36,000","1,202.7","2,304.0",
364,Main Computing Center of RoshydrometRussia,"Cray XC40, Xeon E5-2697v4 18C 2.3GHz, Aries interconnectCray Inc./T-Platforms","35,136","1,200.3","1,293.0",
365,Internet CompanyChina,"INSPUR NF5288M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 100G EthernetInspur","26,880","1,197.0","2,326.0",
366,IT Service ProviderChina,"CloudSystem- Sugon TC6000, Xeon Silver 4114 10C 2.2GHz, 10G EthernetSugon","70,000","1,196.0","4,928.0","1,120"
367,Shanghai Jiao Tong UniversityChina,"Inspur TS10000, Xeon Gold 6248 20C 2.5GHz, Intel Omni-PathInspur","26,240","1,194.1","2,099.2",
368,University of CambridgeUnited Kingdom,"Wilkes-2- Dell C4130, Xeon E5-2650v4 12C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100Dell EMC","21,240","1,193.0","1,751.6",114
